"","parque","idade","sexo","escolar","renda","infraestrutura","sombra","temperatura","lance1","lance2","resp1","resp2"
"197","13demaio",56,1,0,1500,0,0,0,20,28,"1","1"
"198","13demaio",38,1,1,1700,0,1,1,10,63,"1","1"
"199","13demaio",34,1,0,1200,0,0,0,64,68,"1","1"
"200","13demaio",25,1,0,700,0,1,1,50,34,"0","0"
"201","13demaio",32,0,0,1300,0,1,0,28,25,"0","1"
"202","13demaio",31,1,0,998,1,0,1,68,31,"0","0"
"203","13demaio",46,0,0,2500,0,1,1,3,56,"1","0"
"204","13demaio",50,1,0,2500,0,1,1,25,66,"1","1"
"205","13demaio",32,1,0,1400,1,0,1,40,10,"0","0"
"206","13demaio",31,1,0,998,0,1,1,64,67,"1","1"
"207","13demaio",34,0,0,900,0,1,1,30,70,"1","1"
"208","13demaio",60,1,0,998,0,1,1,55,29,"0","0"
"209","13demaio",27,1,0,2000,1,1,1,13,69,"1","0"
"210","13demaio",35,0,0,350,1,1,1,65,66,"1","1"
"211","13demaio",35,1,0,998,0,1,0,45,47,"1","1"
"212","13demaio",56,0,0,1200,0,1,1,12,68,"1","0"
"213","13demaio",52,1,0,2700,0,1,1,36,6,"0","0"
"214","13demaio",45,1,0,1000,1,1,1,17,22,"1","1"
"215","santosdumont",34,0,0,1800,1,1,1,26,64,"1","0"
"216","santosdumont",30,0,1,2500,1,0,0,15,57,"1","0"
"217","santosdumont",33,0,0,600,0,0,0,10,47,"1","1"
"218","santosdumont",42,0,1,5000,1,1,1,9,63,"1","0"
"219","santosdumont",48,0,0,5000,1,1,1,31,67,"1","0"
"220","santosdumont",24,1,0,2900,1,1,1,33,63,"1","0"
"221","santosdumont",41,1,1,10000,1,1,1,11,19,"1","1"
"222","santosdumont",73,1,0,1800,1,1,1,53,24,"0","0"
"223","santosdumont",28,1,0,6000,1,1,1,37,62,"1","0"
"224","santosdumont",34,0,1,8000,1,1,1,27,44,"1","1"
"225","santosdumont",20,1,0,500,1,0,1,11,56,"1","1"
"226","santosdumont",34,0,0,1000,1,1,1,7,58,"1","1"
"227","santosdumont",35,1,1,7000,1,1,1,15,56,"1","1"
"228","santosdumont",65,1,1,12000,1,0,1,9,19,"1","1"
"229","santosdumont",50,1,1,5000,1,0,0,26,10,"0","1"
"230","santosdumont",51,0,1,7000,1,0,1,43,64,"1","1"
"231","santosdumont",30,0,1,2000,1,0,1,44,54,"1","1"
"232","santosdumont",28,0,0,1200,0,0,0,46,27,"0","1"
"233","santosdumont",28,1,0,150,0,1,1,22,1,"0","1"
"234","santosdumont",46,0,0,2000,0,1,1,27,23,"0","0"
"235","santosdumont",25,0,1,3600,1,0,1,16,37,"1","1"
"236","santosdumont",41,0,0,6000,1,1,1,46,16,"0","0"
"237","santosdumont",36,1,0,4000,1,1,1,30,3,"0","1"
"238","santosdumont",33,0,0,1000,1,1,1,48,68,"1","1"
"239","santosdumont",46,0,0,800,1,1,1,41,66,"1","1"
"240","santosdumont",53,0,1,2500,1,1,0,10,59,"1","0"
"241","santosdumont",27,0,1,2500,1,0,1,6,18,"1","1"
"242","santosdumont",49,1,1,2000,0,0,0,53,54,"1","0"
"243","santosdumont",63,0,0,6000,1,1,1,57,5,"0","1"
"244","santosdumont",33,0,1,3000,1,1,1,23,38,"1","1"
"245","santosdumont",54,1,0,900,0,1,1,16,44,"1","0"
"246","santosdumont",27,1,0,4000,1,1,1,13,51,"1","0"
"247","santosdumont",43,1,1,2000,0,0,0,21,23,"1","1"
"248","santosdumont",32,0,1,1800,1,1,1,31,55,"1","0"
"249","santosdumont",47,1,1,8000,1,1,1,46,58,"1","1"
"250","santosdumont",45,0,1,1500,1,0,0,65,13,"0","0"
"251","santosdumont",49,0,1,2000,1,0,1,61,56,"0","0"
"252","santosdumont",63,1,1,6000,0,0,0,2,4,"1","0"
"253","santosdumont",19,1,0,980,1,1,0,35,62,"1","0"
"254","santosdumont",20,0,0,1150,1,1,1,45,49,"1","0"
"255","santosdumont",19,1,0,1300,1,0,1,34,36,"1","1"
"256","santosdumont",77,0,0,980,1,1,1,41,30,"0","1"
"257","santosdumont",41,1,1,7000,0,0,0,32,34,"1","1"
"258","santosdumont",40,0,1,6000,1,0,1,10,28,"1","0"
"259","santosdumont",65,0,0,2000,1,1,1,47,62,"1","1"
"260","santosdumont",36,0,0,3000,1,1,1,58,66,"1","1"
"261","santosdumont",62,1,1,30000,0,1,1,6,23,"1","1"
"262","santosdumont",51,0,0,1000,1,1,1,33,7,"0","0"
"263","santosdumont",34,1,1,20000,1,1,1,47,50,"1","1"
"264","santosdumont",41,1,1,10000,0,0,0,24,4,"0","1"
"265","santosdumont",37,0,0,1200,1,1,1,19,28,"1","0"
"266","santosdumont",59,0,0,2900,1,0,1,9,23,"1","0"
"267","santosdumont",60,0,0,2500,0,0,0,66,31,"0","0"
"268","santosdumont",34,1,1,5000,1,1,1,2,22,"1","0"
"269","santosdumont",37,1,0,2000,1,1,1,41,53,"1","1"
"270","santosdumont",39,1,0,2900,1,1,1,34,66,"1","0"
"271","santosdumont",53,0,0,1800,1,0,1,35,60,"1","0"
"272","santosdumont",38,0,1,600,1,1,0,41,48,"1","0"
"273","santosdumont",18,1,0,468,1,1,0,57,62,"1","1"
"274","santosdumont",31,1,1,14000,1,1,1,29,36,"1","0"
"275","santosdumont",23,1,0,2200,1,1,1,65,68,"1","1"
"276","santosdumont",60,1,1,2000,0,0,0,12,10,"0","0"
"277","santosdumont",22,0,1,1500,1,1,1,16,44,"1","0"
"278","santosdumont",67,1,1,5000,1,1,1,67,70,"1","0"
"279","santosdumont",44,1,1,8000,1,1,1,16,37,"1","1"
"280","santosdumont",43,0,1,4500,1,0,0,62,13,"0","1"
"281","santosdumont",52,0,0,5000,0,1,0,68,33,"0","0"
"282","santosdumont",36,0,1,6000,1,1,1,47,26,"0","0"
"283","santosdumont",19,1,0,1000,1,1,0,28,45,"1","1"
"284","santosdumont",40,1,1,6000,0,1,0,14,31,"1","1"
"285","santosdumont",23,0,0,800,1,1,0,67,68,"1","1"
"286","santosdumont",53,1,1,10000,1,1,1,19,67,"1","1"
"287","santosdumont",33,1,1,8000,1,1,0,22,18,"0","0"
"288","santosdumont",51,1,1,6000,1,1,1,7,25,"1","1"
"289","santosdumont",32,1,1,7000,1,1,1,28,67,"1","1"
"290","santosdumont",50,0,1,3000,1,0,0,20,66,"1","1"
"291","santosdumont",40,1,0,2000,0,0,0,8,56,"1","1"
"292","santosdumont",49,1,1,8000,1,0,1,16,64,"1","1"
"293","santosdumont",63,0,0,1200,0,1,0,8,68,"1","1"
"294","santosdumont",51,1,1,4300,0,1,1,25,55,"1","0"
"295","santosdumont",36,0,1,3800,0,0,1,4,58,"1","1"
"296","santosdumont",48,1,0,3000,1,1,1,14,63,"1","0"
"297","santosdumont",71,1,0,3300,1,1,0,43,47,"1","1"
"298","santosdumont",33,0,0,1850,1,0,0,35,65,"1","0"
"299","santosdumont",58,1,1,2800,1,1,1,11,49,"1","1"
"300","santosdumont",36,1,0,1400,1,0,1,38,64,"1","1"
"301","santosdumont",46,0,0,1700,1,1,1,14,44,"1","1"
"302","santosdumont",34,0,0,1800,1,1,1,26,64,"1","0"
"303","santosdumont",30,0,1,2500,1,0,0,15,57,"1","0"
"304","santosdumont",33,0,0,600,0,0,0,10,47,"1","1"
"305","santosdumont",42,0,1,5000,1,1,1,9,63,"1","0"
"306","santosdumont",48,0,0,5000,1,1,1,31,67,"1","0"
"307","santosdumont",24,1,0,2900,1,1,1,33,63,"1","0"
"308","santosdumont",41,1,1,10000,1,1,1,11,19,"1","1"
"309","santosdumont",73,1,0,1800,1,1,1,24,53,"1","0"
"310","santosdumont",28,1,0,6000,1,1,1,37,62,"1","0"
"311","santosdumont",34,0,1,8000,1,1,1,27,44,"1","1"
"312","santosdumont",20,1,0,500,1,0,1,11,56,"1","1"
"313","santosdumont",34,0,0,1000,1,1,1,7,58,"1","1"
"314","santosdumont",51,1,1,6000,1,1,1,7,25,"1","1"
"315","santosdumont",32,1,1,7000,1,1,1,28,67,"1","1"
"316","santosdumont",50,0,1,3000,1,0,0,20,66,"1","1"
"317","santosdumont",40,1,0,2000,0,0,0,8,56,"1","1"
"318","santosdumont",49,1,1,8000,1,0,1,16,64,"1","1"
"319","santosdumont",63,0,0,1200,0,1,0,8,68,"1","1"
"320","santosdumont",51,1,1,4300,0,1,1,25,55,"1","0"
"321","santosdumont",36,0,1,3800,0,0,1,4,58,"1","1"
"322","santosdumont",48,1,0,3000,1,1,1,14,63,"1","0"
"323","santosdumont",71,1,0,3300,1,1,0,43,47,"1","1"
"324","santosdumont",33,0,0,1850,1,0,0,35,65,"1","0"
"325","santosdumont",58,1,1,2800,1,1,1,11,49,"1","1"
"326","santosdumont",36,1,0,1400,1,0,1,38,64,"1","1"
"327","santosdumont",46,0,0,1700,1,1,1,14,44,"1","1"
"328","santosdumont",29,0,1,5000,1,0,0,36,62,"1","0"
"329","santosdumont",35,0,1,7000,0,0,0,31,45,"1","0"
"330","santosdumont",26,0,1,4000,1,1,1,2,62,"1","0"
"331","santosdumont",40,1,1,5000,1,1,0,35,69,"1","0"
"332","santosdumont",35,1,0,7000,1,1,1,24,66,"1","1"
"333","santosdumont",65,0,0,4000,1,1,1,10,68,"1","0"
"334","santosdumont",60,1,1,8000,1,0,0,35,57,"1","1"
"335","santosdumont",39,0,0,1000,1,1,1,39,65,"1","1"
"336","santosdumont",34,0,1,10000,0,0,1,34,70,"1","0"
"337","santosdumont",45,0,1,3000,1,1,1,38,52,"1","0"
"338","santosdumont",41,0,1,5000,0,1,1,14,39,"1","1"
"339","santosdumont",30,0,1,600,0,0,1,6,69,"1","1"
"340","santosdumont",26,1,0,1000,0,1,1,12,53,"1","0"
"341","santosdumont",24,0,1,2000,1,1,1,46,68,"1","0"
"342","santosdumont",70,1,0,3500,1,1,1,31,52,"1","0"
"343","lindu",52,1,0,900,0,1,1,41,57,"1","1"
"344","lindu",32,0,1,2000,0,1,1,28,21,"0","0"
"345","lindu",65,1,0,1500,0,1,0,12,50,"1","1"
"346","lindu",27,0,0,90,1,1,1,45,1,"0","0"
"347","lindu",38,0,1,2100,1,1,1,6,41,"1","1"
"348","lindu",34,0,1,5000,0,1,0,10,26,"1","0"
"349","lindu",51,1,1,8000,0,1,0,24,44,"1","0"
"350","lindu",18,1,0,1700,0,1,0,5,6,"1","1"
"351","lindu",28,0,1,1000,1,1,1,36,13,"0","1"
"352","lindu",58,0,1,1800,0,1,1,66,21,"0","0"
"353","lindu",52,0,0,1500,1,1,1,49,66,"1","0"
"354","lindu",20,0,0,1000,1,1,1,27,39,"1","1"
"355","lindu",36,0,1,3000,1,1,1,34,37,"1","1"
"356","lindu",55,1,0,920,1,1,1,37,21,"0","1"
"357","lindu",46,1,0,3000,0,1,0,46,5,"0","0"
"358","lindu",36,0,0,500,1,1,1,15,62,"1","0"
"359","lindu",59,0,1,7000,0,0,0,26,7,"0","0"
"360","lindu",32,1,1,10000,1,1,1,19,5,"0","0"
"361","lindu",19,0,0,450,0,1,1,20,37,"1","1"
"362","lindu",27,0,0,900,1,1,0,19,57,"1","0"
"363","lindu",40,1,1,10000,1,0,0,56,59,"1","1"
"364","lindu",37,1,0,7000,0,1,1,44,36,"0","1"
"365","lindu",27,0,0,900,1,1,1,54,60,"1","1"
"366","lindu",24,1,1,1500,1,0,0,53,70,"1","0"
"367","lindu",48,0,1,3000,1,1,1,4,12,"1","1"
"368","lindu",30,0,0,2000,1,1,1,46,59,"1","0"
"369","lindu",33,1,1,2500,0,1,1,6,37,"1","0"
"370","lindu",52,1,0,3000,1,1,1,58,70,"1","1"
"371","lindu",42,1,0,2200,1,1,0,68,66,"0","0"
"372","lindu",46,1,1,10800,0,0,1,63,10,"0","0"
"373","lindu",19,0,0,940,1,1,0,67,20,"0","1"
"374","lindu",36,0,1,12000,0,1,1,30,31,"1","1"
"375","lindu",43,0,1,998,1,1,1,20,33,"1","0"
"376","lindu",57,0,1,4000,1,1,0,3,70,"1","0"
"377","lindu",62,0,1,5000,1,1,1,2,4,"1","1"
"378","lindu",38,1,0,1800,1,1,1,36,70,"1","1"
"379","lindu",36,0,1,2000,1,1,1,54,65,"1","0"
"380","lindu",78,0,1,3600,1,1,1,37,42,"1","0"
"381","lindu",23,0,0,1100,0,1,1,12,18,"1","1"
"382","lindu",42,1,1,7000,1,1,1,7,16,"1","1"
"383","lindu",65,0,0,998,0,0,0,19,18,"0","0"
"384","lindu",40,0,0,500,1,1,1,59,10,"0","0"
"385","lindu",38,0,1,1200,1,1,1,68,14,"0","0"
"386","lindu",33,0,0,998,1,1,1,32,68,"1","0"
"387","lindu",33,0,0,1400,1,1,1,2,39,"1","0"
"388","lindu",39,0,0,998,1,1,1,62,67,"1","0"
"389","lindu",38,1,1,4500,1,0,1,62,67,"1","1"
"390","lindu",38,1,0,2040,1,1,1,30,60,"1","0"
"391","lindu",39,0,1,5000,1,1,1,1,28,"1","1"
"392","lindu",50,1,0,4000,1,1,0,63,39,"0","0"
"393","lindu",30,1,0,1300,1,1,1,42,5,"0","1"
"394","lindu",41,0,1,600,1,1,0,37,59,"1","0"
"395","lindu",35,0,0,1000,0,1,1,41,25,"0","0"
"396","lindu",36,1,0,2000,1,1,0,39,40,"1","1"
"397","lindu",41,1,0,2000,1,1,1,38,45,"1","1"
"398","lindu",36,1,1,14000,0,1,1,18,32,"1","0"
"399","lindu",23,0,0,1800,1,1,1,29,62,"1","1"
"400","lindu",59,0,1,1800,1,1,1,13,16,"1","1"
"401","lindu",53,1,0,2000,1,1,1,13,16,"1","1"
"402","lindu",59,0,0,1000,1,1,0,46,48,"1","1"
"403","lindu",33,0,1,3000,0,1,0,25,2,"0","0"
"404","lindu",41,1,1,18000,1,0,1,48,36,"0","1"
"405","lindu",23,1,0,1000,1,1,1,50,24,"0","0"
"406","lindu",41,1,1,15000,1,1,1,70,20,"0","0"
"407","lindu",52,0,1,1000,0,1,1,37,10,"0","1"
"408","lindu",49,0,0,2000,0,1,0,15,9,"0","1"
"409","lindu",36,0,0,15000,0,1,1,53,52,"0","1"
"410","lindu",39,1,1,6000,1,1,1,50,11,"0","0"
"411","lindu",61,0,0,1800,1,1,0,32,18,"0","0"
