"","resp1","resp2","lance1","lance2","idade","sexo","escolar","infraestrutura","temperatura","renda","objetivo"
"1073",0,0,5,3,62,1,15,NA,NA,954,7
"1074",0,0,38,32,63,1,19,NA,NA,1431,3
"1075",1,0,23,30,78,1,16,NA,NA,8500,2
"1076",1,0,12,9,24,2,19,NA,NA,954,3
"1077",1,0,4,5,49,2,19,NA,NA,477,7
"1078",1,1,42,46,19,2,13,NA,NA,477,7
"1079",1,0,12,15,26,2,13,NA,NA,477,7
"1080",0,0,30,20,64,2,20,NA,NA,1431,3
"1081",0,0,7,5,33,1,15,NA,NA,954,7
"1082",1,0,49,50,63,2,20,NA,NA,4270,3
"1083",1,1,8,10,65,1,20,NA,NA,4270,3
"1084",1,1,8,10,37,2,20,NA,NA,954,2
"1085",1,0,26,36,20,1,18,NA,NA,477,3
"1086",1,1,3,7,46,1,22,NA,NA,8500,3
"1087",1,0,23,30,37,2,16,NA,NA,477,3
"1088",0,0,37,31,73,2,16,NA,NA,477,2
"1089",0,0,16,13,61,2,20,NA,NA,954,3
"1090",1,1,33,41,78,1,20,NA,NA,1431,3
"1091",0,0,46,44,23,1,20,NA,NA,2385,3
"1092",1,0,36,43,24,1,16,NA,NA,954,3
"1093",1,1,2,5,35,1,16,NA,NA,954,3
"1094",1,1,4,7,33,1,20,NA,NA,2385,3
"1095",0,0,16,13,76,1,20,NA,NA,8500,NA
"1096",0,0,9,7,69,2,16,NA,NA,954,3
"1097",1,1,7,9,35,2,22,NA,NA,954,2
"1098",1,1,48,50,26,1,16,NA,NA,1431,3
"1099",1,1,2,3,42,2,20,NA,NA,8500,2
"1100",1,1,10,12,27,1,20,NA,NA,2385,2
"1101",0,0,20,16,48,1,20,NA,NA,954,3
"1102",0,0,28,17,43,1,20,NA,NA,954,7
"1103",1,0,44,47,85,2,16,NA,NA,477,7
"1104",1,1,3,5,62,1,16,NA,NA,4270,3
"1105",0,0,15,12,29,1,17,NA,NA,2385,3
"1106",1,1,48,50,38,1,16,NA,NA,2385,7
"1107",1,1,16,19,45,2,20,NA,NA,2385,3
"1108",0,0,29,19,76,2,16,NA,NA,477,2
"1109",0,0,34,26,53,1,22,NA,NA,8500,2
"1110",1,0,22,30,51,1,22,NA,NA,2385,5
"1111",1,0,5,7,50,2,16,NA,NA,4270,7
"1112",0,0,25,24,39,1,6,3,3,5500,7
"1113",1,1,13,15,24,1,6,3,1,2000,2
"1114",1,1,20,22,52,2,4,2,3,3000,2
"1115",0,0,15,14,17,2,4,2,1,10000,2
"1116",1,1,25,27,48,2,6,3,4,4000,1
"1117",0,0,20,19,58,2,5,4,4,11500,1
"1118",0,0,13,12,56,2,4,4,4,9500,1
"1119",0,1,25,24,61,1,6,4,4,3000,2
"1120",1,0,10,12,27,1,6,3,3,3500,1
"1121",1,0,25,27,17,2,4,2,3,500,6
"1122",0,1,10,9,52,2,6,4,4,10000,1
"1123",0,0,20,19,45,2,6,3,3,8000,1
"1124",0,0,25,24,20,1,4,4,3,500,7
"1125",1,1,20,22,20,1,4,4,3,7000,6
"1126",1,0,10,12,57,2,6,4,4,3000,1
"1127",0,1,15,14,65,1,6,4,2,5500,1
"1128",1,0,15,17,52,2,6,4,4,2000,1
"1129",0,0,15,14,50,1,4,3,2,2500,2
"1130",0,0,13,12,55,2,4,4,3,2500,1
"1131",0,0,25,24,19,2,5,2,3,2500,1
"1132",0,0,10,9,46,1,4,3,3,1500,7
"1133",0,1,15,14,48,2,3,3,4,2500,2
"1134",1,1,15,17,80,2,6,4,3,12000,1
"1135",0,0,20,19,32,1,6,3,3,2000,7
"1136",0,0,25,24,60,1,4,3,4,3000,1
"1137",0,0,15,14,66,1,7,3,1,4000,2
"1138",0,1,13,12,32,1,6,3,3,4000,1
"1139",1,1,15,17,44,1,5,4,4,3500,2
"1140",1,0,13,15,34,1,6,3,4,2500,1
"1141",1,1,15,17,57,2,5,4,5,9500,2
"1142",0,0,10,9,21,2,4,3,4,3500,1
"1143",1,1,25,27,23,1,5,4,3,10000,2
"1144",1,0,20,22,50,1,4,4,4,11000,2
