"","resp1","resp2","lance1","lance2","idade","sexo","escolar","infraestrutura","temperatura","renda","objetivo"
"943",1,1,17,20,24,1,20,NA,NA,954,3
"944",1,1,18,21,76,2,7,NA,NA,477,7
"945",1,0,30,40,27,2,20,NA,NA,2385,7
"946",0,0,27,16,31,1,16,NA,NA,477,3
"947",0,0,22,14,44,2,16,NA,NA,477,2
"948",1,1,22,30,41,1,16,NA,NA,954,7
"949",1,1,32,41,35,1,16,NA,NA,954,2
"950",0,0,43,40,22,2,16,NA,NA,477,2
"951",0,1,24,20,57,2,20,NA,NA,954,7
"952",0,0,32,23,39,2,16,NA,NA,954,3
"953",0,0,35,28,18,2,17,NA,NA,477,7
"954",0,1,24,20,71,1,20,NA,NA,4270,2
"955",0,0,50,44,64,1,15,NA,NA,1431,7
"956",0,0,11,8,57,1,16,NA,NA,954,7
"957",0,1,13,10,70,1,20,NA,NA,1431,7
"958",0,0,11,8,70,1,16,NA,NA,954,7
"959",0,0,17,14,54,1,15,NA,NA,954,7
"960",0,0,24,18,64,2,0,NA,NA,477,7
"961",1,1,16,19,39,2,19,NA,NA,954,7
"962",0,0,45,43,27,2,22,NA,NA,477,7
"963",0,0,46,44,42,1,20,NA,NA,954,3
"964",0,0,38,32,31,2,20,NA,NA,1431,7
"965",0,0,43,40,42,1,20,NA,NA,1431,7
"966",1,1,8,10,24,1,16,NA,NA,954,7
"967",0,0,37,31,22,2,16,NA,NA,954,7
"968",0,0,17,14,42,1,15,NA,NA,954,7
"969",0,0,23,16,72,1,16,NA,NA,2385,3
"970",0,1,22,14,64,2,6,NA,NA,954,3
"971",0,0,28,17,31,2,17,NA,NA,954,3
"972",1,0,10,12,26,2,16,NA,NA,954,3
"973",0,0,7,5,46,1,16,NA,NA,1431,3
"974",0,0,29,19,30,2,16,NA,NA,954,3
"975",0,0,46,44,22,1,17,NA,NA,477,3
"976",0,0,36,29,34,1,15,NA,NA,477,7
"977",1,1,2,3,23,1,16,NA,NA,954,7
"978",0,0,37,31,62,1,16,NA,NA,1431,7
"979",0,0,12,9,46,1,16,NA,NA,2385,3
"980",0,0,3,1,19,2,16,NA,NA,954,7
"981",0,0,32,23,28,2,18,NA,NA,477,3
"982",0,0,37,31,45,1,15,NA,NA,477,7
"983",0,0,43,40,27,1,15,NA,NA,477,7
"984",1,1,28,39,44,1,20,NA,NA,4270,3
"985",0,0,40,35,42,2,16,NA,NA,954,2
"986",1,0,33,41,40,1,20,NA,NA,2385,3
"987",1,0,10,12,59,2,16,NA,NA,2385,7
"988",0,0,25,15,54,1,18,NA,NA,1431,3
"989",0,0,47,45,22,2,15,NA,NA,2385,3
"990",0,0,35,28,48,2,22,NA,NA,2385,3
"991",0,0,31,22,48,2,13,NA,NA,954,2
"992",1,0,24,30,82,1,20,NA,NA,2385,2
"993",1,0,12,15,62,2,15,NA,NA,954,2
"994",0,0,35,28,24,2,20,NA,NA,1431,3
"995",0,0,35,28,26,1,20,NA,NA,1431,3
"996",1,0,10,12,44,1,20,NA,NA,4270,3
"997",0,0,38,32,79,1,16,NA,NA,1431,2
"998",0,0,42,38,63,1,16,NA,NA,1431,2
"999",0,0,23,16,31,1,16,NA,NA,954,3
"1000",1,0,20,24,59,1,16,NA,NA,954,2
"1001",1,0,30,40,43,2,20,NA,NA,2385,3
"1002",0,1,14,11,24,1,16,NA,NA,954,3
"1003",0,0,21,17,28,1,16,NA,NA,954,3
"1004",0,0,27,16,54,1,17,NA,NA,1431,2
"1005",1,0,26,36,70,2,0,NA,NA,477,3
"1006",0,0,46,44,50,1,13,NA,NA,477,7
"1007",1,1,5,7,48,1,16,NA,NA,1431,7
"1008",0,0,21,17,68,1,7,NA,NA,477,7
"1009",1,0,26,36,42,2,8,NA,NA,477,7
"1010",1,0,6,8,52,2,13,NA,NA,477,7
"1011",0,0,47,45,38,2,16,NA,NA,477,7
"1012",1,1,47,49,30,1,15,NA,NA,477,3
"1013",0,0,40,35,57,1,16,NA,NA,1431,3
"1014",1,1,8,10,33,2,22,NA,NA,1431,7
"1015",0,0,44,41,58,2,16,NA,NA,954,2
"1016",0,0,34,26,60,1,13,NA,NA,1431,2
"1017",1,1,17,20,60,2,5,NA,NA,477,2
"1018",0,0,3,1,47,2,16,NA,NA,477,7
"1019",0,0,42,38,67,1,16,NA,NA,477,7
"1020",0,0,7,5,34,1,16,NA,NA,1431,2
"1021",0,0,40,35,36,2,16,NA,NA,954,2
"1022",0,0,11,8,43,1,15,NA,NA,2385,2
"1023",0,0,42,38,19,1,15,NA,NA,477,2
"1024",0,0,48,46,43,1,20,NA,NA,1431,7
"1025",0,0,25,15,51,2,16,NA,NA,2385,3
"1026",0,0,43,40,49,1,20,NA,NA,954,3
"1027",0,0,13,10,44,1,11,NA,NA,477,7
"1028",1,1,11,14,69,1,17,NA,NA,1431,2
"1029",0,0,33,25,61,1,16,NA,NA,477,3
"1030",0,0,21,17,51,2,22,NA,NA,2385,3
"1031",0,0,32,23,52,1,22,NA,NA,4270,3
"1032",1,0,1,3,40,2,22,NA,NA,8500,7
"1033",0,0,7,5,39,2,15,NA,NA,2385,7
