ID;parque;idade;sexo;cidade;estadocivil;escolar;ocupacao;renda;qdepend;objetivo;freqvis;infraestrutura;tamanho;sombra;temperatura;lance1;resp1;lance2;resp2;bidl;bidh
109;13demaio;45;1;fortaleza;1;16;3;3500;0;2;1;3;5;5;5;63;1;67;1;8;67
110;13demaio;46;1;recife;1;20;1;2300;1;6;12;3;4;4;4;3;1;61;0;2;61
111;13demaio;33;1;olinda;2;16;0;900;2;7;6;4;4;4;5;16;1;44;0;4;44
112;13demaio;26;2;recife;1;18;7;900;1;7;4;3;4;4;4;20;1;43;1;4;43
113;13demaio;54;2;recife;1;20;7;2000;0;7;1;4;4;5;5;7;1;47;0;3;47
114;13demaio;33;2;olinda ;2;16;2;1200;1;4;1;4;4;3;4;60;0;52;0;52;8
115;13demaio;53;1;recife;2;16;3;998;1;2;3;4;5;5;5;15;1;40;0;4;40
116;13demaio;40;2;recife;2;16;6;1000;2;2;1;3;4;5;4;25;0;6;0;6;49
117;13demaio;28;1;olinda;1;11;7;1000;2;2;8;4;5;4;4;57;0;53;1;53;46
118;13demaio;40;2;olinda;1;10;4;1000;2;4;1;4;4;5;4;2;1;25;0;1;25
119;13demaio;28;1;olinda;2;11;2;1300;3;2;4;4;5;5;3;26;1;30;1;5;30
120;13demaio;23;2;camutanga;1;16;1;1000;1;4;1;5;5;4;4;58;1;68;0;8;68
121;13demaio;38;2;recife;1;16;2;1000;0;4;5;4;5;4;4;64;1;67;0;8;67
122;13demaio;75;1;recife;4;0;3;1000;0;2;8;5;3;5;3;37;0;29;0;29;5
123;13demaio;50;1;paulista;2;16;2;2500;2;2;10;4;5;5;4;19;1;42;0;4;42
124;13demaio;30;1;recife;2;16;2;2000;2;4;1;3;4;5;3;35;1;58;0;6;58
125;13demaio;29;1;jaboatao;1;20;2;1000;2;7;4;3;5;5;4;38;1;41;1;6;41
126;13demaio;33;1;recife;2;22;2;5600;1;7;1;2;5;4;5;26;0;26;0;26;14
127;13demaio;33;1;recife;1;20;2;2000;3;7;30;4;4;5;4;48;1;52;1;7;52
128;13demaio;50;2;recife;1;15;2;998;0;3;24;1;5;4;4;56;0;13;0;13;48
129;13demaio;51;2;olinda;2;17;2;1200;0;3;24;4;4;4;4;32;0;19;1;19;55
130;13demaio;60;1;recife;2;13;2;3000;2;2;2;3;5;5;3;36;0;32;0;32;0
131;13demaio;46;2;olinda;3;20;2;1400;2;3;20;4;;4;4;25;1;29;0;5;29
132;13demaio;65;2;recife;1;16;4;998;0;3;6;4;4;5;5;12;0;3;0;3;50
133;13demaio;39;1;recife;1;16;1;1200;2;;9;3;5;3;4;69;0;39;0;39;17
134;13demaio;55;1;recife;2;16;2;4200;1;3;27;4;4;4;5;25;1;52;1;5;52
135;13demaio;56;1;recife;1;20;2;5000;0;3;30;3;5;5;4;42;1;50;1;6;50
136;13demaio;41;1;recife;2;20;2;2000;1;3;9;2;4;5;5;65;0;34;0;34;26
137;13demaio;29;1;recife;1;20;2;998;0;2;30;1;4;3;4;48;0;27;0;27;38
138;13demaio;33;1;recife;1;16;1;4800;0;2;30;1;4;4;4;48;0;23;0;23;3
139;13demaio;71;1;olinda;1;16;1;1000;0;2;30;4;4;4;4;51;0;26;0;26;10
140;13demaio;45;1;recife;1;13;6;998;0;6;1;3;5;5;3;4;0;2;0;2;40
141;13demaio;38;1;recife;2;16;2;1000;0;2;1;4;4;5;4;23;0;8;0;8;50
142;13demaio;50;1;recife;1;8;3;998;0;6;9;3;4;4;5;16;0;5;0;5;26
143;13demaio;27;1;recife;1;15;2;998;0;3;23;3;4;5;5;28;0;27;0;27;8
144;13demaio;30;1;recife;1;16;2;1500;3;3;20;3;5;4;5;57;1;62;1;8;62
145;13demaio;59;1;recife;1;15;7;998;0;2;25;4;5;5;3;56;1;62;1;7;62
146;13demaio;40;2;recife;1;8;4;998;3;4;2;5;4;5;4;51;1;68;1;7;68
147;13demaio;26;1;camaragibe;2;16;2;1080;0;2;8;5;5;5;5;18;1;59;0;4;59
148;13demaio;22;2;recife;1;19;7;384;0;7;2;3;5;5;3;53;1;59;0;7;59
149;13demaio;58;3;paulista;1;9;0;170;1;4;1;3;5;5;3;38;1;51;0;6;51
150;13demaio;48;2;recife;2;11;0;200;0;2;5;1;5;1;5;50;1;65;1;7;65
151;13demaio;34;1;recife;2;16;6;1000;1;2;2;4;5;4;4;48;1;68;1;7;68
152;13demaio;26;1;recife;1;16;2;15000;1;2;3;4;4;3;4;33;1;34;1;6;34
153;13demaio;55;1;recife;2;10;2;1300;1;2;2;4;4;5;5;48;1;56;1;7;56
154;13demaio;28;1;recife;1;11;0;400;0;7;2;4;5;5;5;37;0;19;0;19;56
155;13demaio;34;2;recife;2;12;2;998;2;2;1;5;4;4;4;12;1;22;0;3;22
156;13demaio;41;1;paulista;1;12;6;1000;0;2;30;1;4;4;4;44;0;22;0;22;34
157;13demaio;40;1;recife;1;16;0;91;0;7;30;5;1;4;1;16;1;60;0;4;60
158;13demaio;57;2;recife;2;20;1;2500;2;2;1;3;4;4;3;10;1;13;0;3;13
159;13demaio;53;2;recife;2;20;1;5000;0;2;16;3;4;4;3;12;1;20;0;3;20
160;13demaio;36;2;escada;1;16;7;1000;1;5;4;2;3;4;3;3;1;31;0;2;31
