"";"parque";"idade";"sexo";"cidade";"escolar";"renda";"infraestrutura";"sombra";"temperatura";"lance1";"lance2";"resp1";"resp2";"bidl";"bidh";"lnRendat1";"lnRendat2";"lnRenda"
"108";"13demaio";28;0;"paulista";1;1300;0;1;1;26;35;"1";"0";5,09901951359278;35;7,17013492794667;7,17014025329435;3,11394335230684
"109";"13demaio";45;1;"fortaleza";0;3500;0;1;1;63;67;"1";"1";7,93725393319377;67;8,16052339032142;8,1605237168503;3,54406804435028
"110";"13demaio";46;1;"recife";1;2300;0;1;1;3;61;"1";"0";1,73205080756888;61;7,74066496902483;7,74067593304168;3,36172783601759
"111";"13demaio";33;1;"olinda";0;900;1;1;1;16;44;"1";"0";4;44;6,80241451621564;6,80244908283663;2,95424250943932
"112";"13demaio";26;0;"recife";0;900;0;1;1;20;43;"1";"1";4,47213595499958;43;6,80241945437751;6,80244784833503;2,95424250943932
"113";"13demaio";54;0;"recife";1;2000;1;1;1;7;47;"1";"0";2,64575131106459;47;7,60090420954055;7,60091420947305;3,30102999566398
"114";"13demaio";33;0;"olinda";0;1200;1;0;1;60;52;"0";"0";52;8;7,09011850157473;7,09011294623521;3,07918124604762
"115";"13demaio";53;1;"recife";0;998;1;1;1;15;40;"1";"0";3,87298334620742;40;6,90576833637854;6,90579343598634;2,99913054128737
"116";"13demaio";40;0;"recife";0;1000;0;1;1;25;6;"0";"0";6;49;6,90778027866964;6,90776127896414;3
"117";"13demaio";28;1;"olinda";0;1000;1;1;1;57;53;"0";"1";53;46,3245553203368;6,9078122773577;6,90780827757769;3
"118";"13demaio";40;0;"olinda";0;1000;1;1;1;2;25;"1";"0";1,4142135623731;25;6,90775727898014;6,90778027866964;3
"119";"13demaio";28;1;"olinda";0;1300;1;1;0;26;30;"1";"1";5,09901951359278;30;7,17013492794667;7,17013729477136;3,11394335230684
"120";"13demaio";23;0;"camutanga";0;1000;1;1;1;58;68;"1";"0";7,61577310586391;68;6,9078132773002;6,90782327667024;3
"121";"13demaio";38;0;"recife";0;1000;1;1;1;64;67;"1";"0";8;67;6,90781927693422;6,90782227673774;3
"122";"13demaio";75;1;"recife";0;1000;1;1;0;37;29;"0";"0";29;4,73205080756888;6,90779227829765;6,90778427856165;3
"123";"13demaio";50;1;"paulista";0;2500;1;1;1;19;42;"1";"0";4,35889894354067;42;7,82404905085167;7,82405273083371;3,39794000867204
"124";"13demaio";30;1;"recife";0;2000;0;1;0;35;58;"1";"0";5,91607978309962;58;7,6009112095038;7,60091695943696;3,30102999566398
"125";"13demaio";29;1;"jaboatao";1;1000;0;1;1;38;41;"1";"1";6,16441400296898;41;6,90779327826016;6,90779627814166;3
"126";"13demaio";33;1;"recife";1;5600;0;1;1;26;26;"0";"0";26;14,3166247903554;8,63052270580453;8,63052270580453;3,7481880270062
"127";"13demaio";33;1;"recife";1;2000;1;1;1;48;52;"1";"1";6,92820323027551;52;7,60091445947008;7,60091545945758;3,30102999566398
"128";"13demaio";50;0;"recife";0;998;0;1;1;56;13;"0";"0";13;48,4807406984079;6,90580949940471;6,9057663283827;2,99913054128737
"129";"13demaio";51;0;"olinda";0;1200;1;1;1;32;19;"0";"1";19;54,9282032302755;7,0900990577514;7,09009003013349;3,07918124604762
"130";"13demaio";60;1;"recife";0;3000;0;1;0;36;32;"0";"0";32;0;8,00637156764225;8,00637112319948;3,47712125471966
"131";"13demaio";46;0;"olinda";1;1400;1;1;1;25;29;"1";"0";5;29;7,24424027062405;7,24424231141226;3,14612803567824
"132";"13demaio";65;0;"recife";0;998;1;1;1;12;3;"0";"0";3;49,557438524302;6,90576532438327;6,90575628834302;2,99913054128737
"133";"13demaio";39;1;"recife";0;1200;0;0;1;69;39;"0";"0";39;16,605551275464;7,09012475129479;7,09010391874268;3,07918124604762
"134";"13demaio";55;1;"recife";0;4200;1;1;1;25;52;"1";"1";5;52;8,34284122150402;8,34284275211292;3,6232492903979
"135";"13demaio";56;1;"recife";1;5000;0;1;1;42;50;"1";"1";6,48074069840786;50;8,51719487141483;8,51719519141424;3,69897000433602
"136";"13demaio";41;1;"recife";1;2000;0;1;1;65;34;"0";"0";34;25,5825756949558;7,60091870941005;7,60091095950596;3,30102999566398
"137";"13demaio";29;1;"recife";1;998;0;0;1;48;27;"0";"0";27;37,6568542494924;6,90580146772778;6,90578038426891;2,99913054128737
"138";"13demaio";33;1;"recife";0;4800;0;1;1;48;23;"0";"0";23;3;8,47637328022715;8,47637219515937;3,68124123737559
